year,month,state,city,crime_type,incidents,population
2018,1,Delhi,Dwarka,Assault,9,459392
2018,1,Delhi,Dwarka,Burglary,27,881612
2018,1,Delhi,Dwarka,Theft,50,466527
2018,4,Delhi,Dwarka,Assault,43,341627
2018,4,Delhi,Dwarka,Robbery,29,834409
2018,4,Delhi,Dwarka,Theft,50,355938
2018,5,Delhi,Dwarka,Cyber Crime,20,973767
2018,5,Delhi,Dwarka,Fraud,19,971460
2018,5,Delhi,Dwarka,Kidnapping,45,387047
2018,7,Delhi,Dwarka,Fraud,30,1165615
2018,7,Delhi,Dwarka,Homicide,31,911390
2018,7,Delhi,Dwarka,Theft,47,814746
2018,11,Delhi,Dwarka,Burglary,47,223599
2018,11,Delhi,Dwarka,Homicide,14,528086
2018,11,Delhi,Dwarka,Robbery,53,548459
2018,12,Delhi,Dwarka,Cyber Crime,29,814437
2018,12,Delhi,Dwarka,Robbery,48,1169164
2018,12,Delhi,Dwarka,Theft,43,636521
2018,2,Delhi,New Delhi,Burglary,57,1223579
2018,2,Delhi,New Delhi,Fraud,15,573762
2018,2,Delhi,New Delhi,Kidnapping,80,723888
2018,3,Delhi,New Delhi,Burglary,44,1248685
2018,3,Delhi,New Delhi,Kidnapping,40,556453
2018,3,Delhi,New Delhi,Theft,12,881620
2018,4,Delhi,New Delhi,Cyber Crime,66,810656
2018,4,Delhi,New Delhi,Fraud,58,999035
2018,4,Delhi,New Delhi,Homicide,30,1499543
2018,5,Delhi,New Delhi,Fraud,32,1441181
2018,5,Delhi,New Delhi,Homicide,43,472425
2018,5,Delhi,New Delhi,Kidnapping,23,255343
2018,8,Delhi,New Delhi,Burglary,41,927861
2018,8,Delhi,New Delhi,Homicide,71,1404004
2018,8,Delhi,New Delhi,Theft,19,1149953
2018,10,Delhi,New Delhi,Cyber Crime,49,753603
2018,10,Delhi,New Delhi,Kidnapping,66,1226774
2018,10,Delhi,New Delhi,Theft,60,197542
2018,1,Delhi,Rohini,Assault,12,315001
2018,1,Delhi,Rohini,Burglary,36,114660
2018,1,Delhi,Rohini,Homicide,44,522442
2018,5,Delhi,Rohini,Burglary,52,648914
2018,5,Delhi,Rohini,Homicide,70,597028
2018,5,Delhi,Rohini,Kidnapping,8,161443
2018,6,Delhi,Rohini,Cyber Crime,37,320087
2018,6,Delhi,Rohini,Robbery,70,362263
2018,6,Delhi,Rohini,Theft,50,454833
2018,7,Delhi,Rohini,Cyber Crime,62,1048694
2018,7,Delhi,Rohini,Robbery,49,707720
2018,7,Delhi,Rohini,Theft,22,666432
2018,10,Delhi,Rohini,Assault,10,1007411
2018,10,Delhi,Rohini,Fraud,36,1344288
2018,10,Delhi,Rohini,Homicide,50,1376052
2018,11,Delhi,Rohini,Assault,20,841001
2018,11,Delhi,Rohini,Robbery,25,637202
2018,11,Delhi,Rohini,Theft,24,1089314
2018,4,Gujarat,Ahmedabad,Cyber Crime,33,1238772
2018,4,Gujarat,Ahmedabad,Robbery,28,311636
2018,4,Gujarat,Ahmedabad,Theft,57,130061
2018,5,Gujarat,Ahmedabad,Assault,23,623715
2018,5,Gujarat,Ahmedabad,Burglary,27,483872
2018,5,Gujarat,Ahmedabad,Homicide,46,1002817
2018,8,Gujarat,Ahmedabad,Assault,16,500821
2018,8,Gujarat,Ahmedabad,Fraud,52,1226064
2018,8,Gujarat,Ahmedabad,Robbery,57,1475133
2018,9,Gujarat,Ahmedabad,Fraud,41,174866
2018,9,Gujarat,Ahmedabad,Homicide,10,895210
2018,9,Gujarat,Ahmedabad,Robbery,54,571755
2018,10,Gujarat,Ahmedabad,Assault,50,220762
2018,10,Gujarat,Ahmedabad,Fraud,40,194246
2018,10,Gujarat,Ahmedabad,Homicide,32,900618
2018,11,Gujarat,Ahmedabad,Assault,59,1494283
2018,11,Gujarat,Ahmedabad,Burglary,54,247231
2018,11,Gujarat,Ahmedabad,Theft,40,1317874
2018,5,Gujarat,Surat,Fraud,82,768294
2018,5,Gujarat,Surat,Kidnapping,49,774068
2018,5,Gujarat,Surat,Robbery,67,184086
2018,6,Gujarat,Surat,Fraud,64,690696
2018,6,Gujarat,Surat,Kidnapping,51,886265
2018,6,Gujarat,Surat,Robbery,13,671722
2018,7,Gujarat,Surat,Assault,24,593703
2018,7,Gujarat,Surat,Cyber Crime,19,1093386
2018,7,Gujarat,Surat,Fraud,26,118474
2018,8,Gujarat,Surat,Burglary,51,403310
2018,8,Gujarat,Surat,Cyber Crime,25,109770
2018,8,Gujarat,Surat,Fraud,55,1260235
2018,10,Gujarat,Surat,Assault,68,347175
2018,10,Gujarat,Surat,Kidnapping,29,960525
2018,10,Gujarat,Surat,Theft,28,511016
2018,11,Gujarat,Surat,Kidnapping,62,1312845
2018,11,Gujarat,Surat,Robbery,61,711683
2018,11,Gujarat,Surat,Theft,26,284119
2018,1,Gujarat,Vadodara,Assault,9,1326646
2018,1,Gujarat,Vadodara,Burglary,40,278195
2018,1,Gujarat,Vadodara,Fraud,55,496677
2018,2,Gujarat,Vadodara,Assault,22,822736
2018,2,Gujarat,Vadodara,Fraud,57,864532
2018,2,Gujarat,Vadodara,Kidnapping,10,217567
2018,5,Gujarat,Vadodara,Assault,68,1270406
2018,5,Gujarat,Vadodara,Cyber Crime,20,729708
2018,5,Gujarat,Vadodara,Fraud,7,1156281
2018,7,Gujarat,Vadodara,Assault,56,435938
2018,7,Gujarat,Vadodara,Cyber Crime,62,1202312
2018,7,Gujarat,Vadodara,Theft,39,593459
2018,10,Gujarat,Vadodara,Homicide,9,1022986
2018,10,Gujarat,Vadodara,Kidnapping,25,567942
2018,10,Gujarat,Vadodara,Theft,24,867998
2018,12,Gujarat,Vadodara,Fraud,60,274997
2018,12,Gujarat,Vadodara,Robbery,39,456969
2018,12,Gujarat,Vadodara,Theft,33,901799
2018,2,Karnataka,Bengaluru,Cyber Crime,50,831432
2018,2,Karnataka,Bengaluru,Homicide,41,727973
2018,2,Karnataka,Bengaluru,Theft,13,1474198
2018,3,Karnataka,Bengaluru,Cyber Crime,3,167249
2018,3,Karnataka,Bengaluru,Fraud,24,884508
2018,3,Karnataka,Bengaluru,Theft,64,1013105
2018,5,Karnataka,Bengaluru,Fraud,18,1293435
2018,5,Karnataka,Bengaluru,Kidnapping,62,605546
2018,5,Karnataka,Bengaluru,Robbery,22,1409689
2018,6,Karnataka,Bengaluru,Burglary,52,141270
2018,6,Karnataka,Bengaluru,Kidnapping,4,573521
2018,6,Karnataka,Bengaluru,Robbery,34,1083890
2018,10,Karnataka,Bengaluru,Burglary,24,397730
2018,10,Karnataka,Bengaluru,Homicide,41,647879
2018,10,Karnataka,Bengaluru,Theft,67,315876
2018,11,Karnataka,Bengaluru,Assault,72,892165
2018,11,Karnataka,Bengaluru,Homicide,50,1407606
2018,11,Karnataka,Bengaluru,Robbery,7,671210
2018,2,Karnataka,Mangaluru,Burglary,45,465903
2018,2,Karnataka,Mangaluru,Fraud,58,643196
2018,2,Karnataka,Mangaluru,Kidnapping,7,798425
2018,3,Karnataka,Mangaluru,Burglary,33,304511
2018,3,Karnataka,Mangaluru,Cyber Crime,41,888977
2018,3,Karnataka,Mangaluru,Fraud,49,999610
2018,4,Karnataka,Mangaluru,Assault,56,814466
2018,4,Karnataka,Mangaluru,Homicide,49,742970
2018,4,Karnataka,Mangaluru,Robbery,9,261535
2018,6,Karnataka,Mangaluru,Fraud,56,1135338
2018,6,Karnataka,Mangaluru,Robbery,60,805386
2018,6,Karnataka,Mangaluru,Theft,55,748991
2018,8,Karnataka,Mangaluru,Cyber Crime,7,1240191
2018,8,Karnataka,Mangaluru,Fraud,42,1053846
2018,8,Karnataka,Mangaluru,Robbery,35,1121086
2018,9,Karnataka,Mangaluru,Burglary,62,502049
2018,9,Karnataka,Mangaluru,Cyber Crime,37,1235774
2018,9,Karnataka,Mangaluru,Fraud,24,117427
2018,2,Karnataka,Mysuru,Assault,22,1030623
2018,2,Karnataka,Mysuru,Homicide,57,153413
2018,2,Karnataka,Mysuru,Kidnapping,20,1473543
2018,3,Karnataka,Mysuru,Assault,6,124091
2018,3,Karnataka,Mysuru,Cyber Crime,22,1048160
2018,3,Karnataka,Mysuru,Robbery,21,878394
2018,9,Karnataka,Mysuru,Assault,46,378763
2018,9,Karnataka,Mysuru,Fraud,61,1123584
2018,9,Karnataka,Mysuru,Theft,79,503535
2018,10,Karnataka,Mysuru,Burglary,56,1258530
2018,10,Karnataka,Mysuru,Kidnapping,62,1051517
2018,10,Karnataka,Mysuru,Theft,32,894041
2018,11,Karnataka,Mysuru,Assault,46,751064
2018,11,Karnataka,Mysuru,Fraud,31,122294
2018,11,Karnataka,Mysuru,Homicide,55,502308
2018,12,Karnataka,Mysuru,Cyber Crime,54,1425905
2018,12,Karnataka,Mysuru,Fraud,65,1348318
2018,12,Karnataka,Mysuru,Kidnapping,28,100236
2018,1,Kerala,Kochi,Burglary,52,378355
2018,1,Kerala,Kochi,Kidnapping,57,579710
2018,1,Kerala,Kochi,Theft,38,1148650
2018,4,Kerala,Kochi,Assault,6,616141
2018,4,Kerala,Kochi,Cyber Crime,16,1114139
2018,4,Kerala,Kochi,Kidnapping,33,1325025
2018,5,Kerala,Kochi,Assault,26,546628
2018,5,Kerala,Kochi,Robbery,44,1114760
2018,5,Kerala,Kochi,Theft,68,510890
2018,6,Kerala,Kochi,Fraud,34,1335793
2018,6,Kerala,Kochi,Homicide,69,1140465
2018,6,Kerala,Kochi,Robbery,48,1138445
2018,7,Kerala,Kochi,Cyber Crime,44,736446
2018,7,Kerala,Kochi,Fraud,67,582835
2018,7,Kerala,Kochi,Kidnapping,10,431892
2018,10,Kerala,Kochi,Assault,6,179579
2018,10,Kerala,Kochi,Burglary,45,1185040
2018,10,Kerala,Kochi,Cyber Crime,48,1073126
2018,2,Kerala,Kozhikode,Assault,37,1059419
2018,2,Kerala,Kozhikode,Burglary,20,533222
2018,2,Kerala,Kozhikode,Homicide,54,929791
2018,4,Kerala,Kozhikode,Assault,61,101843
2018,4,Kerala,Kozhikode,Burglary,22,320738
2018,4,Kerala,Kozhikode,Homicide,9,1402060
2018,5,Kerala,Kozhikode,Burglary,11,1282028
2018,5,Kerala,Kozhikode,Cyber Crime,4,1278634
2018,5,Kerala,Kozhikode,Homicide,63,952469
2018,7,Kerala,Kozhikode,Fraud,41,934403
2018,7,Kerala,Kozhikode,Homicide,20,208617
2018,7,Kerala,Kozhikode,Kidnapping,52,123842
2018,8,Kerala,Kozhikode,Burglary,29,1256172
2018,8,Kerala,Kozhikode,Fraud,29,777547
2018,8,Kerala,Kozhikode,Homicide,36,532316
2018,11,Kerala,Kozhikode,Cyber Crime,26,268304
2018,11,Kerala,Kozhikode,Homicide,16,1377135
2018,11,Kerala,Kozhikode,Theft,16,1484294
2018,3,Kerala,Thiruvananthapuram,Cyber Crime,73,595224
2018,3,Kerala,Thiruvananthapuram,Fraud,57,739928
2018,3,Kerala,Thiruvananthapuram,Theft,10,1319659
2018,4,Kerala,Thiruvananthapuram,Homicide,24,781905
2018,4,Kerala,Thiruvananthapuram,Kidnapping,63,521388
2018,4,Kerala,Thiruvananthapuram,Theft,19,1241010
2018,8,Kerala,Thiruvananthapuram,Fraud,61,816585
2018,8,Kerala,Thiruvananthapuram,Kidnapping,68,1185467
2018,8,Kerala,Thiruvananthapuram,Theft,12,507326
2018,9,Kerala,Thiruvananthapuram,Homicide,35,1439747
2018,9,Kerala,Thiruvananthapuram,Kidnapping,30,388153
2018,9,Kerala,Thiruvananthapuram,Robbery,47,693120
2018,11,Kerala,Thiruvananthapuram,Cyber Crime,50,1333861
2018,11,Kerala,Thiruvananthapuram,Robbery,11,517171
2018,11,Kerala,Thiruvananthapuram,Theft,44,1217843
2018,12,Kerala,Thiruvananthapuram,Assault,23,151488
